|Title|Artist
582|Karma Chameleon|Culture Club
583|Jump|Van Halen
584|Footloose|Kenny Loggins
585|Against All Odds (Take a Look at Me Now)|Phil Collins
586|Hello|Lionel Richie
587|Let's Hear It for the Boy|Deniece Williams
588|Time After Time|Cyndi Lauper
589|The Reflex|Duran Duran
590|When Doves Cry|Prince
591|Ghostbusters|Ray Parker Jr.
592|What's Love Got to Do with It|Tina Turner
593|Missing You|John Waite
594|Let's Go Crazy|Prince and the Revolution
595|I Just Called to Say I Love You|Stevie Wonder
596|Caribbean Queen (No More Love on the Run)|Billy Ocean
597|Wake Me Up Before You Go-Go|Wham!
598|Out of Touch|Daryl Hall and John Oates
599|Like a Virgin|Madonna
600|Like a Virgin|Madonna
601|I Want to Know What Love Is|Foreigner
602|Careless Whisper|Wham! featuring George Michael
603|Can't Fight This Feeling|REO Speedwagon
604|One More Night|Phil Collins
605|We Are the World|USA for Africa
606|Crazy for You|Madonna
607|Don't You (Forget About Me)|Simple Minds
608|Everything She Wants|Wham!
609|Everybody Wants to Rule the World|Tears for Fears
610|Heaven|Bryan Adams
611|Sussudio|Phil Collins
612|A View to a Kill|Duran Duran
613|Everytime You Go Away|Paul Young
614|Shout|Tears for Fears
615|The Power of Love|Huey Lewis and the News
616|St. Elmo's Fire (Man in Motion)|John Parr
617|Money for Nothing|Dire Straits
618|Oh Sheila|Ready for the World
619|Take On Me|a-ha
620|Saving All My Love for You|Whitney Houston
621|Part-Time Lover|Stevie Wonder
622|Miami Vice Theme|Jan Hammer
623|We Built This City|Starship
624|Separate Lives|Phil Collins and Marilyn Martin
625|Broken Wings|Mr. Mister
626|Say You, Say Me|Lionel Richie
627|Say You, Say Me|Lionel Richie
628|That's What Friends Are For|Dionne and Friends
629|How Will I Know|Whitney Houston
630|Kyrie|Mr. Mister
631|Sara|Starship
632|These Dreams|Heart
633|Rock Me Amadeus|Falco
634|Kiss|Prince and the Revolution
635|Addicted to Love|Robert Palmer
636|West End Girls|Pet Shop Boys
637|Greatest Love of All|Whitney Houston
638|Live to Tell|Madonna
639|On My Own|Patti LaBelle and Michael McDonald
640|There'll Be Sad Songs (To Make You Cry)|Billy Ocean
641|Holding Back the Years|Simply Red
642|Invisible Touch|Genesis
643|Sledgehammer|Peter Gabriel
644|Glory of Love|Peter Cetera
645|Papa Don't Preach|Madonna
646|Higher Love|Steve Winwood
647|Venus|Bananarama
648|Take My Breath Away|Berlin
649|Stuck with You|Huey Lewis and the News
650|When I Think of You|Janet Jackson
651|True Colors|Cyndi Lauper
652|Amanda|Boston
653|Human|The Human League
654|You Give Love a Bad Name|Bon Jovi
655|The Next Time I Fall|Peter Cetera and Amy Grant
656|The Way It Is|Bruce Hornsby & the Range
657|Walk Like an Egyptian|The Bangles
658|Walk Like an Egyptian|The Bangles
659|Shake You Down|Gregory Abbott
660|At This Moment|Billy Vera and the Beaters
661|Open Your Heart|Madonna
662|Livin' on a Prayer|Bon Jovi
663|Jacob's Ladder|Huey Lewis and the News
664|Lean on Me|Club Nouveau
665|Nothing's Gonna Stop Us Now|Starship
666|I Knew You Were Waiting (For Me)|Aretha Franklin and George Michael
667|(I Just) Died in Your Arms|Cutting Crew
668|With or Without You|U2
669|You Keep Me Hangin' On|Kim Wilde
670|Always|Atlantic Starr
671|Head to Toe|Lisa Lisa and Cult Jam
672|I Wanna Dance with Somebody (Who Loves Me)|Whitney Houston
673|Alone|Heart
674|Shakedown|Bob Seger
675|I Still Haven't Found What I'm Looking For|U2
676|Who's That Girl|Madonna
677|La Bamba|Los Lobos
678|I Just Can't Stop Loving You|Michael Jackson with Siedah Garrett
679|Didn't We Almost Have It All|Whitney Houston
680|Here I Go Again|Whitesnake
681|Lost in Emotion|Lisa Lisa and Cult Jam
682|Bad|Michael Jackson
683|I Think We're Alone Now|Tiffany
684|Mony Mony|Billy Idol
685|(I've Had) The Time of My Life|Bill Medley and Jennifer Warnes
686|Heaven Is a Place on Earth|Belinda Carlisle
687|Faith|George Michael
688|Faith|George Michael
